"","Same_Chr","D","D_Prime","r","r_sq"
"1","Y",0.131775126548215,0.903355989475245,0.671504464007985,0.450918245182652
"2","Y",0.122992895764199,0.729127115402123,0.699282443310914,0.488995935522882
"3","Y",0.139492826764129,0.896496581764585,0.694847082718548,0.482812468362476
"4","Y",0.169484282755775,0.999611381967735,0.890452487740522,0.792905632923285
"5","Y",0.117997090854676,0.551129846577798,0.533124565354373,0.284221802184289
"6","Y",0.117997090854676,0.551129846577798,0.533124565354373,0.284221802184289
"7","Y",0.223778162653618,0.999758670638001,0.999758670638001,0.999517399515864
"8","N",0.108130967733682,0.641022557436595,0.614784186066725,0.614784186066725
"9","N",0.107615966194924,0.691629441277132,0.536060827636119,0.536060827636119
"10","N",0.145918259234747,0.999594119557736,0.743830061546861,0.743830061546861
"11","N",0.108154998983759,0.694595437917921,0.538930279578588,0.538930279578588
"12","N",0.147752554061545,0.660577696631469,0.659878302367994,0.659878302367994
"13","N",0.102465747894265,0.686669011975481,0.528229582186241,0.528229582186241
"14","N",0.128151332437318,0.805124675530104,0.645786604265459,0.645786604265459
"15","N",0.112467577949754,0.525679943055611,0.507967717428174,0.507967717428174
"16","N",0.1346757151881,0.629030815181592,0.608480527811253,0.608480527811253
"17","N",0.119426031811116,0.663733138334855,0.663733138334855,0.663733138334855
"18","N",0.139396179635216,0.895233242546167,0.694603326419291,0.694603326419291
"19","N",0.127236019009356,0.799374119428344,0.641174111057313,0.641174111057313
"20","N",0.113675406636448,0.778718637462124,0.579469527379191,0.579469527379191
"21","N",0.108154998983759,0.694595437917921,0.538930279578588,0.538930279578588
"22","N",0.121182231511131,0.541786095494091,0.541212473209912,0.541212473209912
"23","N",0.145072220241138,0.648129416806783,0.648129416806783,0.648129416806783
"24","N",0.106081987749297,0.681282099101043,0.528600581139722,0.528600581139722
"25","N",0.0972025556407783,0.611516486099264,0.522440822006981,0.522440822006981
"26","N",0.106405579705996,0.575874100180335,0.501058677881784,0.501058677881784
"27","N",0.137223902113039,0.742132541954026,0.646401826358784,0.646401826358784
"28","N",0.15814085114094,0.836662809697602,0.753350013838971,0.753350013838971
"29","N",0.123083301239339,0.725940286901407,0.646666640739882,0.646666640739882
"30","N",0.12103194962839,0.654563432844063,0.570128615225566,0.570128615225566
"31","N",0.113675406636448,0.778718637462124,0.579469527379191,0.579469527379191
"32","N",0.108154998983759,0.694595437917921,0.538930279578588,0.538930279578588
"33","N",0.121182231511131,0.541786095494091,0.541212473209912,0.541212473209912
"34","N",0.145072220241138,0.648129416806783,0.648129416806783,0.648129416806783
"35","N",0.106081987749297,0.681282099101043,0.528600581139722,0.528600581139722
"36","N",0.12103194962839,0.654563432844063,0.570128615225566,0.570128615225566
