"","X","ind_ID","pop_ID","prob_CA","prob_BC","latitude","longitude","Sp_by_locality","Sp_assigned"
"1",10,"BC10",1,0.012,0.988,39.222,-96.611,"BC","BC"
"2",2,"BC2",2,0.012,0.988,39.032,-95.206,"BC","BC"
"3",11,"BC11",3,0.012,0.988,39.0389783,-94.7621904,"BC","BC"
"4",1,"BC1",4,0.023,0.977,38.658846,-93.751714,"BC","BC"
"5",3,"BC3",5,0.023,0.977,38.2794,-94.4273,"BC","BC"
"6",4,"BC4",5,0.08,0.92,38.2794,-94.4273,"BC","HY"
"7",5,"BC5",5,0.024,0.976,38.2843,-94.4342,"BC","BC"
"8",6,"BC6",5,0.012,0.988,38.2809,-94.4279,"BC","BC"
"9",7,"BC7",5,0.019,0.981,38.2809,-94.4279,"BC","BC"
"10",8,"BC8",5,0.02,0.98,38.2822,-94.4336,"BC","BC"
"11",9,"BC9",5,0.012,0.988,38.2822,-94.4336,"BC","BC"
"12",17,"HZ8",6,0.012,0.988,38.3594142,-93.7924746,"HZ","BC"
"13",18,"HZ9",6,0.456,0.544,38.3594142,-93.7924746,"HZ","HY"
"14",19,"HZ10",6,0.621,0.379,38.3594142,-93.7924746,"HZ","HY"
"15",20,"HZ12",6,0.118,0.882,38.3602936,-93.7944215,"HZ","HY"
"16",21,"HZ13",6,0.02,0.98,38.3602936,-93.7944215,"HZ","BC"
"17",12,"HZ3",7,0.783,0.217,38.291495,-93.731487,"HZ","HY"
"18",13,"HZ4",7,0.882,0.118,38.2886198,-93.7272466,"HZ","HY"
"19",14,"HZ5",7,0.956,0.044,38.2886198,-93.7272466,"HZ","CA"
"20",15,"HZ6",7,0.957,0.043,38.2886198,-93.7272466,"HZ","CA"
"21",16,"HZ7",7,0.012,0.988,38.2886198,-93.7272466,"HZ","BC"
"22",22,"HZ14",7,0.606,0.394,38.305758,-93.736445,"HZ","HY"
"23",23,"HZ15",7,0.442,0.558,38.305758,-93.736445,"HZ","HY"
"24",24,"HZ16",7,0.955,0.045,38.305758,-93.736445,"HZ","CA"
"25",25,"HZ17",7,0.943,0.057,38.291495,-93.731487,"HZ","CA"
"26",26,"HZ18",7,0.988,0.012,38.2890579,-93.7321416,"HZ","CA"
"27",27,"HZ19",7,0.91,0.09,38.292864,-93.731253,"HZ","HY"
"28",28,"HZ20",7,0.988,0.012,38.292864,-93.731253,"HZ","CA"
"29",29,"HZ21",7,0.909,0.091,38.299915,-93.735634,"HZ","HY"
"30",30,"HZ22",7,0.983,0.017,38.3039234,-93.7368831,"HZ","CA"
"31",31,"HZ23",7,0.443,0.557,38.3039234,-93.7368831,"HZ","HY"
"32",32,"HZ24",7,0.738,0.262,38.3024837,-93.7347487,"HZ","HY"
"33",33,"HZ25",7,0.988,0.012,38.294238,-93.728243,"HZ","CA"
"34",34,"HZ26",7,0.793,0.207,38.294238,-93.728243,"HZ","HY"
"35",35,"HZ27",7,0.777,0.223,38.2877361,-93.7271702,"HZ","HY"
"36",36,"HZ28",7,0.502,0.498,38.2957915,-93.7325195,"HZ","HY"
"37",37,"HZ30",7,0.983,0.017,38.3044373,-93.7369337,"HZ","CA"
"38",38,"HZ31",7,0.987,0.013,38.2949474,-93.7340195,"HZ","CA"
"39",39,"HZ32",7,0.986,0.014,38.2949474,-93.7340195,"HZ","CA"
"40",40,"HZ33",7,0.988,0.012,38.2883127,-93.7297364,"HZ","CA"
"41",41,"HZ34",7,0.988,0.012,38.3060277,-93.7395529,"HZ","CA"
"42",42,"HZ35",7,0.564,0.436,38.3060277,-93.7395529,"HZ","HY"
"43",43,"HZ36",7,0.867,0.133,38.2959868,-93.7329684,"HZ","HY"
"44",44,"HZ37",7,0.743,0.257,38.2869776,-93.7269341,"HZ","HY"
"45",45,"HZ38",7,0.432,0.568,38.2869776,-93.7269341,"HZ","HY"
"46",49,"CA4",8,0.988,0.012,37.875,-93.713,"CA","CA"
"47",50,"CA5",8,0.983,0.017,37.875,-93.713,"CA","CA"
"48",51,"CA6",8,0.983,0.017,37.875,-93.713,"CA","CA"
"49",52,"CA8",8,0.947,0.053,37.875,-93.713,"CA","CA"
"50",53,"CA9",8,0.988,0.012,37.875,-93.713,"CA","CA"
"51",54,"CA10",8,0.983,0.017,37.875,-93.713,"CA","CA"
"52",55,"CA11",8,0.811,0.189,37.875,-93.713,"CA","HY"
"53",46,"CA1",9,0.918,0.082,37.2603329,-93.24767,"CA","HY"
"54",47,"CA2",10,0.988,0.012,36.60161,-93.32783,"CA","CA"
"55",48,"CA3",10,0.982,0.018,36.60161,-93.32783,"CA","CA"
